"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-23","77","85","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-24","78","92","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-25","74","77","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-26","75","80","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-27","70","80","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-28","72","86","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-29","77","88","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-30","81","92","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-01","78","82","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-02","75","87","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-03","79","88","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-04","78","87","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-05","81","94","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-06","74","80","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-07","75","86","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-08","75","77","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-09","71","76","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-10","72","86","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-11","77","85","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-12","77","86","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-13","75","80","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-14","71","80","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-15","69","72","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-16","71","75","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-17","72","77","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-18","77","89","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-19","81","90","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-20","82","87","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-21","80","92","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-22","81","91","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-23","78","86","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-24","80","86","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-25","73","76","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-26","72","82","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-27","75","83","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-28","75","80","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-29","72","81","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-30","74","83","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-07-31","76","85","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-01","78","85","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-02","78","90","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-03","81","91","75"
